Character / Team,Year Debuted,Company,Creator/s,First Appearance
Crimesmith,1990,DC,Marv Wolfman,Batman #443
NKVDemon,1990,DC,"Marv Wolfman, Jim Aparo",Batman #445
Blackout #2,1990 (June),Marvel,Howard Mackie,Ghost Rider #2
Cyborg Superman (Hank Henshaw),1990,DC,Dan Jurgens,Adventures of Superman #466
Yuga Khan,1990,DC,,"New Gods Vol.2, #17"
"Blaze, Satanus",Blaze: 1990; Satanus: 1992,DC,"Blaze: Roger Stern, Bob McLeod; Satanus: Jerry Ordway, Tom Grummett",Blaze: Action Comics #655; Satanus: Adventures of Superman #493
Deadpool,1991,Marvel,"Rob Liefeld, Fabian Nicieza",The New Mutants #98
Lynx,1991,DC,"Chuck Dixon, Tom Lyle",Robin Vol.1
Bloody Mary,1991,DC,,Hawk and Dove Vol.2 #21
Malice Vundabar,1991,DC,,Hawk and Dove Vol.2 #21
Chessure,1991,DC,,Hawk and Dove Vol.2 #21
Speed Queen,1991,DC,"Karl Kesel, Barbara Kesel",Hawk and Dove Vol.2 #21
King Snake,1991,DC,"Chuck Dixon, Tom Lyle",Robin #2
Abattoir,1991,DC,,Detective Comics #625
Superia,1991,Marvel,"Mark Gruenwald, Rik Levins",Captain America #390
Evil Ernie,1991,Eternity,"Brain Pulido, Steven Hughes",Evil Ernie #1
Lady Death,1991,Eternity,Brian Pulido,Evil Ernie #1
Fabian Cortez,1991,Marvel,"Chris Claremont, Jim Lee",X-Men Vol.2 #1
Acolytes,1991,Marvel,"Chris Claremont, Jim Lee",X-Men Vol.2 #1
Carnage,1992,Marvel,"David Michelinie, Mark Bagley",The Amazing Spider-Man #360
Amygdala,1992,DC,"Alan Grant, Norm Breyfogle",Batman: Shadow of the Bat #3
Lloigoroth,1992,Marvel,,Avengers #352
Doomsday,1992 (December),DC,Dan Jurgens,Superman: The Man of Steel #17
Doppelganger,1992,Marvel,"Jim Starlin, Ron Lim, Al Milgrom",Infinity War #1
Hawkman (Fel Andar),1992 (April),DC,"John Ostrander, Graham Nolan",Hawkworld (vol. 2) #22
Rose Wilson,1992 (October),DC,"Marv Wolfman, Art Nichols",Deathstroke #15
Omega Red,1992,Marvel,"Jim Lee, John Byrne",X-Men (Vol. 2) #4
Goddess,1992,Marvel,"Jim Starlin, Ron Lim",Infinity War #6
General,1992,DC,Chuck Dixon,Detective Comics #654
Overlord,1992,Image,Erik Larsen,The Savage Dragon (vol. 1) #1
Malebolgia,1992,Image,Todd McFarlane,Spawn#1
Jason Wynn,1992,Image,Todd Mcfarlane,Spawn#1
Violator,1992,Image,Todd McFarlane,Spawn #2
Zsasz,1992,DC,Alan Grant,Batman: Shadow of the Bat #1
Alkhema,1993,Marvel,"Roy Thomas, Dann Thomas, David Ross, Tim Dzon",Avengers West Coast #90
Bane,1993 (January),DC,"Chuck Dixon, Graham Nolan, Doug Moench",Batman: Vengeance of Bane #1
Harlequin,1993,DC,"Ron Marz, Jim Balent",Green Lantern Corps Quarterly #5
Kleinstocks,1993,Marvel,"Scott Lobdell, Brandon Peterson",Uncanny X-Men #298
Mace Blitzkrieg,1993,Dark Horse,Team CGW,Comics' Greatest World: Steel Harbor Week 1
Titan,1993,Dark Horse,Team CGW,Comics' Greatest World: Golden City Week 3
Cogliostro,1993,Image Comics,Todd McFarlane,Spawn #9
Trigger Twins,1993,DC,,Detective Comics #667
Warmaker,1993,Dark Horse,Team CGW,Comics' Greatest World: Golden City Week 1
Tally Man,1993,DC,Alan Grant,Shadow of the Bat #19
Americop,1994,Marvel,,Captain America #428
Parallax,1994,DC,"Hal Jordan: John Broome, Gil Kane; Concept: Ron Marz, Darryl Banks; Creature: Geoff Johns, Ethan van Sciver",Hal Jordan: Showcase #22; As Parallax: Green Lantern #50
Conduit,1994,DC,,Superman #0
Ignition,1994,Dark Horse,Team CGW,Will To Power #4
Knockout,1994,DC,"Karl Kesel, Tom Grummett",SuperboyVol.2 #1
Scavenger (Superboy),1994,DC,"Karl Kesel, Tom Grummett",Superboy #2
King Shark,1994,DC,Karl Kesel,Superboy #0
Law,1994,Dark Horse,,Division 13 #1
Massacre,1994,DC,,Superman #92
Purgatori,1994,Eternity,"Brian Pulido, Steven Hughes",Lady Death #3
Roxy Rocket,1994,DC,,Batman Adventures Annual #1
