Artist,Single,Released,Sales (in millions),Source,Type
Bing Crosby,"""Silent Night""",1935-01-01,30,[2],Physical
The Andrews Sisters,"""Bei Mir Bist Du Schön""",1937-01-01,14.0,[17],Physical
The Ink Spots,"""If I Didn't Care""",1939-01-01,19[disputed – discuss],[11],Physical
Bing Crosby,"""White Christmas""",1942-01-01,50,[1],Physical
Roy Acuff,"""Wabash Cannonball""",1942-01-01,10.0,[8],Physical
Mills Brothers,"""Paper Doll""",1943-01-01,11.0,[8],Physical
Tino Rossi,"""Petit Papa Noël""",1946-01-01,30,[3],Physical
Gene Autry,"""Rudolph the Red-Nosed Reindeer""",1949-01-01,12.5,[21],Physical
Patti Page,"""Tennessee Waltz""",1950-01-01,10.0,[38][39][40],Physical
Bill Haley & His Comets,"""Rock Around the Clock""",1954-01-01,25,[4][5],Physical
The Penguins,"""Earth Angel""",1954-01-01,10.0,[41],Physical
Elvis Presley,"""Hound Dog""",1956-01-01,10.0,[42],Physical
Paul Anka,"""Diana""",1957-01-01,10.0,[33][34],Physical
Elvis Presley,"""It's Now or Never""",1960-01-01,20,[8][9],Physical
The Beatles,"""I Want to Hold Your Hand""",1963-01-01,12.0,[8],Physical
Kyu Sakamoto,"""Sukiyaki""",1963-01-01,13.0,[20],Physical
The Monkees,"""I'm a Believer""",1966-01-01,10.0,[8][37],Physical
Procol Harum,"""A Whiter Shade of Pale""",1967-01-01,10.0,[8],Physical
George Harrison,"""My Sweet Lord""",1970-01-01,10.0,[36],Physical
Middle of the Road,"""Chirpy Chirpy Cheep Cheep""",1971-01-01,10.0,[8],Physical
George McCrae,"""Rock Your Baby""",1974-01-01,11.0,[8],Physical
Carl Douglas,"""Kung Fu Fighting""",1974-01-01,11.0,[29][30],Physical
Roger Whittaker,"""The Last Farewell""",1975-01-01,11.0,[31],Physical
ABBA,"""Fernando""",1976-01-01,10.0,[32],Physical
Prince Nico Mbarga,"""Sweet Mother""",1976-01-01,13.0,[19],Physical
Baccara,"""Yes Sir, I Can Boogie""",1977-01-01,16,[14],Physical
Village People,"""Y.M.C.A.""",1978-01-01,12.0,[24],Physical
John Travolta and Olivia Newton-John,"""You're the One That I Want""",1978-01-01,15,[16],Physical
Boney M.,"""Rivers of Babylon""",1978-01-01,10.0,[43],Physical
The Knack,"""My Sharona""",1979-01-01,10.0,[45][46],Physical
Band Aid,"""Do They Know It's Christmas?""",1984-01-01,11.7,[25],Physical
USA for Africa,"""We Are the World""",1985-01-01,20,[10],Physical
Scorpions,"""Wind of Change""",1991-01-01,14.0,[18],Physical
Bryan Adams,"""(Everything I Do) I Do It for You""",1991-01-01,15,[15],Physical
Whitney Houston,"""I Will Always Love You""",1992-01-01,24,[6][7],Physical
Mariah Carey,"""All I Want For Christmas Is You""",1994-01-01,16,[13],Physical
Los del Río,"""Macarena""",1995-01-01,11.0,[26],Physical
Andrea Bocelli and Sarah Brightman,"""Time to Say Goodbye""",1996-01-01,12.0,[23],Physical
Toni Braxton,"""Un-Break My Heart""",1996-01-01,10.0,[35],Physical
Celine Dion,"""My Heart Will Go On""",1997-01-01,18,[12],Physical
Elton John,"""Something About the Way You Look Tonight""/""Candle in the Wind 1997""",1997-01-01,33,[1],Physical
Cher,"""Believe""",1998-01-01,11.0,[27][28],Physical
Britney Spears,"""...Baby One More Time""",1998-01-01,10.0,[44],Physical
O-Zone,"""Dragostea din tei""",2003-01-01,12.0,[22],Physical
Shakira featuring Wyclef Jean,"""Hips Don't Lie""",2006-01-01,10,[78],Digital
Flo Rida featuring T-Pain,"""Low""",2007-01-01,12,[74],Digital
Taylor Swift,"""Love Story""",2008-01-01,18.0[a],[57],Digital
Jason Mraz,"""I'm Yours""",2008-01-01,12.2,[69][70][71][72],Digital
Lady Gaga,"""Poker Face""",2008-01-01,14,[65],Digital
Lady Gaga featuring Colby O'Donis,"""Just Dance""",2008-01-01,10,[79],Digital
Flo Rida featuring Kesha,"""Right Round""",2009-01-01,12,[73],Digital
Lady Gaga,"""Bad Romance""",2009-01-01,12,[75],Digital
Kesha,"""Tik Tok""",2009-01-01,14,[64],Digital
Shakira featuring Freshlyground,"""Waka Waka (This Time for Africa)""",2010-01-01,10,[77],Digital
Bruno Mars,"""Grenade""",2010-01-01,10.2,[68],Digital
Bruno Mars,"""Just the Way You Are""",2010-01-01,12.5,[68],Digital
Gotye featuring Kimbra,"""Somebody That I Used to Know""",2011-01-01,13,[67],Digital
Adele,"""Rolling in the Deep""",2011-01-01,20.6,[52][53][54],Digital
Carly Rae Jepsen,"""Call Me Maybe""",2011-01-01,18.0,[56],Digital
Adele,"""Someone Like You""",2011-01-01,17.0,[58],Digital
Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger""",2011-01-01,14.4,[63],Digital
Macklemore and Ryan Lewis featuring Wanz,"""Thrift Shop""",2012-01-01,13.4[a],[62],Digital
Imagine Dragons,"""Radioactive""",2012-01-01,16[a],[59],Digital
Katy Perry featuring Juicy J,"""Dark Horse""",2013-01-01,13.2[a],[66],Digital
John Legend,"""All of Me""",2013-01-01,12.3[a],[66],Digital
Pharrell Williams,"""Happy""",2013-01-01,13.9[a],[66],Digital
Avicii featuring Aloe Blacc,"""Wake Me Up""",2013-01-01,11.1[a],[62],Digital
Idina Menzel,"""Let It Go""",2013-01-01,10.9[a],[66],Digital
Lorde,"""Royals""",2013-01-01,10,[76],Digital
Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines""",2013-01-01,14.8[a],[62],Digital
Meghan Trainor,"""All About That Bass""",2014-01-01,11[a],[66],Digital
Justin Bieber,"""Love Yourself""",2015-01-01,11.7[a],[51],Digital
Justin Bieber,"""Sorry""",2015-01-01,10.8[a],[51],Digital
Lukas Graham,"""7 Years""",2015-01-01,10.4[a],[51],Digital
Adele,"""Hello""",2015-01-01,12.3[a],[50],Digital
Mike Posner,"""I Took a Pill in Ibiza""",2015-01-01,10[a],[51],Digital
Ellie Goulding,"""Love Me like You Do""",2015-01-01,12.6[a],[50],Digital
Mark Ronson featuring Bruno Mars,"""Uptown Funk""",2015-01-01,20[a],[50],Digital
Major Lazer & DJ Snake featuring MØ,"""Lean On""",2015-01-01,13.1[a],[50],Digital
Ed Sheeran,"""Thinking Out Loud""",2015-01-01,19.5[a],[50],Digital
Maroon 5,"""Sugar""",2015-01-01,13.5[a],[50],Digital
Wiz Khalifa featuring Charlie Puth,"""See You Again""",2015-01-01,20.9[a],[50],Digital
Drake featuring Wizkid and Kyla,"""One Dance""",2016-01-01,12.5[a],[51],Digital
