Character / Team,Year Debuted,Company,Creator/s,First Appearance,Decade
Ultra-Humanite,1939,DC,"Jerry Siegel, Joe Shuster",Action Comics (vol. 1) #13,1930
Dr. Death,1939,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #29,1930
The Monk,1939,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #31,1930
The Claw,1939,Lev Gleason Publications,Jack Cole,Silver Streak Comics #1,1930
Hath-Set,1940,DC,"Gardner Fox, Dennis Neville",Flash Comics #1,1940
Professor Hugo Strange,1940,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #36,1940
Doctor Sivana,1940,Fawcett Comics/DC,"Bill Parker, C. C. Beck",Whiz Comics #2,1940
Lex Luthor,1940,DC,"Jerry Siegel, Joe Shuster",Action Comics (vol. 1) #23,1940
The Joker,1940,DC,"Bob Kane, Jerry Robinson, Bill Finger",Batman (vol. 1) #1,1940
Catwoman,1940,DC,"Bob Kane, Bill Finger",Batman (vol. 1) #1,1940
Tony Zucco,1940,DC,"Bob Kane, Bill Finger, Jerry Robinson",Detective Comics (vol. 1) #38,1940
Clayface,1940,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #40,1940
Scarecrow,1941,DC,"Bill Finger, Bob Kane",World's Finest Comics #3,1940
Ares,1941,DC,"William Moulton Marston, H. G. Peter",Wonder Woman #1,1940
Red Skull,1941,Marvel/Timely,"Joe Simon, Jack Kirby",Captain America Comics #1,1940
The Penguin,1941,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #58,1940
Captain Nazi,1941,Fawcett Comics/DC,"Bill Woolfolk, Mac Raboy",Master Comics #21,1940
Ibac,1942,Fawcett Comics/DC,"Otto Binder, C. C. Beck",Captain Marvel Adventures #8,1940
The Puzzler,1942,DC,,Action Comics (vol. 1) #49,1940
Two-Face,1942,DC,"Bob Kane, Bill Finger",Detective Comics (vol. 1) #66,1940
Prankster,1942,DC,,Action Comics (vol. 1) #51,1940
The Shade,1942,DC,Gardner Fox,Flash Comics #33,1940
Rag Doll,1942,DC,Gardner Fox,Flash Comics #36,1940
Sabbac,1943,Fawcett Comics/DC,"(Fawcett) Otto Binder, Al Carreno; (DC) Judd Winick, Tom Raney","(Fawcett) Captain Marvel, Jr. #4; (DC) Outsiders, vol. 3 #8",1940
Mister Mind and the Monster Society of Evil,1943,Fawcett Comics/DC,"Otto Binder, C. C. Beck",Captain Marvel Adventures #22,1940
Brainwave,1943,DC,Gardner Fox,All Star #15,1940
"Tweedledum, Tweedledee",1943,DC,,Detective Comics (vol. 1) #74,1940
Crime Doctor,1943,DC,"Bill Finger, Bob Kane, George Roussos",Detective Comics (vol. 1) #77,1940
Toyman,1943,DC,"Jerry Siegel, Joe Shuster",Action Comics (vol. 1) #64,1940
Cheetah,1943,DC,William Moulton Marston,Wonder Woman (vol. 1) #6,1940
Thinker,1943,DC,"Gardner Fox, E. E. Hibbard",All-Flash #12,1940
Cavalier,1943,DC,"Don Cameron, Bob Kane",Detective Comics (vol. 1) #81,1940
Vandal Savage,1943,DC,"Alfred Bester, Martin Nodell",Green Lantern (vol. 1) #10,1940
Gambler,1944,DC,"Henry Kuttner, Martin Nodell",Green Lantern (vol. 1) #12,1940
Giganta,1944,DC,William Moulton Marston,Wonder Woman (vol. 1) #9,1940
Mr. Mxyzptlk,1944,DC,"Jerry Siegel, Joe Shuster",Superman (vol. 1) #30,1940
Solomon Grundy,1944,DC,"Alfred Bester, Paul Reinman",All-American Comics #61,1940
Monocle,1945,DC,"Gardner Fox, Joe Kubert",Flash Comics #64,1940
Turtle,1945,DC,"Gardner Fox, Martin Naydel",All-Star #21,1940
Black Adam,1945,Fawcett Comics/DC,Otto Binder & C. C. Beck,The Marvel Family #1,1940
Crazy Quilt,1946,DC,Jack Kirby,Boy Commandos #15,1940
Wizard,1947,DC,"Gardner Fox, Irwin Hasen",All Star Comics #34,1940
Penny Plunderer,1947,DC,,World's Finest Comics #30,1940
Gentleman Ghost,1947,DC,"Robert Kanigher, Joe Kubert",Flash Comics #88,1940
Icicle (comics) (Joar),1947,DC,"Robert Kanigher, Irwin Hasen",All American Comics #90,1940
"Rose, Thorn",1947,DC,"John Broome, Carmine Infantino",Flash Comics #89,1940
The Fiddler,1947,DC,"Robert Kanigher, Lee Elias",All-Flash #32,1940
Star Sapphire,1947,DC,"Robert Kanigher, Lee Elias",All-Flash #32,1940
Mad Hatter,1948,DC,"Bob Kane, Bill Finger",Batman (vol. 1) #49,1940
Riddler,1948,DC,"Bill Finger, Dick Sprang",Detective Comics (vol. 1) #140,1940
