Character / Team,Year Debuted,Company,Creator/s,First Appearance
Cutthroat,1980,Marvel,,Marvel Team-Up Vol.1 #89
Destiny,1980,Marvel,"Chris Claremont, John Byrne",Uncanny X-Men #141
Sebastian Shaw,1980,Marvel,"Chris Claremont, John Byrne",Uncanny X-Men #131
Rainbow Raider,1980,DC,Cary Bates,Flash #286
Dansen Macabre,1980,Marvel,"Steven Grant, Tom Sutton, Carmine Infantino",Marvel Team-Up vol.1 #93
Anaconda,1980,Marvel,"Mark Gruenwald, Ralph Macchio",Marvel Two-in-One #64
H.I.V.E.,1980,DC,"Marv Wolfman, George Pérez",New Teen Titans #2
Mongul,Mongul #1: 1980; Mongul #2: 1995,DC,"Mongul #1: Len Wein, Jim Starlin; Mongul #2: Jeph Loeb",Mongul #1: DC Comics Presents #27; Mongul #2: Showcase '95 #8
Deathstroke,1980 (December),DC,"Marv Wolfman, George Pérez",New Teen Titans (vol. 1) #2
Trigon,1980 (December),DC,"Marv Wolfman, George Pérez",New Teen Titans (vol. 1) #2
Electrocutioner,1981,DC,"Marv Wolfman, Michael Fleisher, Irv Novick",Batman #331
Fearsome Five,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3
Gizmo,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3
Mammoth,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3
Maelstrom,1981,Marvel,Mark Gruenwald,Marvel Two-in-One #71
Jack O'Lantern,1981,Marvel,"Tom DeFalco, Steve Ditko",Machine Man #19
Nekron,1981 (June),DC,"Mike W. Barr, Joe Staton",Tales of the Green Lantern Corps #2
Neutron,1981,DC,"Marv Wolfman, Joe Staton",Action Comics #525
Ghost Maker,1982 (March),Marvel,"Doug Moench, Gene Day",Master of Kung Fu #110
Magenta,1982,DC,"Marv Wolfman, George Pérez",The New Teen Titans #17|-
Gargantua,1982,Marvel,,Defenders #126
Vermin,1982,Marvel,"J. M. DeMatteis, Mike Zeck",Captain America #272
Grendel,1982,Comico,Matt Wagner,Comico Primer #2
Hobgoblin,1983,Marvel,"Roger Stern, John Romita, Jr.",Spectacular Spider-Man #43 (as Roderick Kingsley); Amazing Spider-Man #238 (as Hobgoblin)
Killer Croc,1983 (March),DC,"Gerry Conway, Don Newton",Batman (vol. 1) #357
Jason Todd,1983 (March),DC,"Robin: Gerry Conway, Don Newton; Red Hood: Judd Winick, Doug Mahnke",Batman (vol. 1) #357
Lobo,1983 (June),DC,"Roger Slifer, Keith Giffen",Omega Men (vol. 1) #3
Lady Deathstrike,1983,Marvel,"Dennis O'Neil, Larry Hama, Klaus Janson, William Johnson",Daredevil #197
Deathbolt,1983,DC,Roy Thomas,All-Star Squadron #21
Brainwave,1983,DC,"Roy Thomas, Jerry Ordway, Mike Machlan",All-Star Squadron #24
Northwind,1983,DC,"Roy Thomas, Jerry Ordway, Mike Machlan",All-Star Squadron #25
Master of the World,1983,Marvel,John Byrne,"Alpha Flight Vol. 1, #2"
Nocturna,1983,DC,Doug Moench,Detective Comics #529
Iron Maiden,1983,Marvel,"Ralph Macchio, George Pérez",Marvel Fanfare vol.1 #11
Javelin,1984 (February),DC,"Dennis O'Neil, Mike Sekowsky, Dick Giordano",Green Lantern (vol. 2) #173
Tsunami,1984 (May),DC,,All-Star Squadron #33
Shredder,1984 (May),Mirage,"Kevin Eastman, Peter Laird",Teenage Mutant Ninja Turtles (vol. 1) #1
Jericho,1984 (June),DC,"Marv Wolfman, George Pérez",Tales of the Teen Titans #43
Titania,1984 (July),Marvel,"Jim Shooter, Mike Zeck",Secret Wars #3
Magus (X-Men),1984,Marvel,"Chris Claremont, Bill Sienkiewicz",New Mutants (vol.1) #18
Answer,1984,Marvel,,Spectacular Spider-Man Vol.2 #92
Freedom Force,1985,Marvel,"Chris Claremont, John Romita Jr",Uncany X-Men #199
Anti-Monitor,1985,DC,"Marv Wolfman, George Pérez, Jerry Ordway",Crisis on Infinite Earths #2
Armadillo,1985,Marvel,"Mark Gruenwald, Paul Neary, Dennis Janke",Captain America #308
Black Mask,1985,DC,"Doug Moench, Tom Mandrake",Batman #386
Jinx,1985,DC,"Marv Wolfman, Chuck Patton",Tales of the Teen Titans #56
Spiral,1985,Marvel,"Ann Nocienti, Art Adams",Longshot #1
Ghaur,1985,Marvel,"Peter B. Gillis, Sal Buscema","Eternals v2, #2"
Flag-Smasher,1985,Marvel,"Mark Gruenwald, Paul Neary",Captain America #312
Nebula,1985 (July),Marvel,"Roger Stern, John Buscema",The Avengers #257
Weasel,1985 (August),DC,"Gerry Conway, Rafael Kayanan",The Fury of Firestorm #35
Superboy-Prime,1985 (November),DC,"Elliot S! Maggin, Curt Swan",DC Comics Presents #87
